"Année","Type de contrôle", "Nom de l'organisme contrôlé ou nom de domaine","Lieu de contrôle","Département","Secteur d'activité"
"2014","Loi 1978","Groupon France","Paris","75","Commerce"
"2014","Loi 1978","Groupon France","Courbevoie","92","Commerce"
"2014","Loi 1978","Lycée Marcelin Berthelot","Saint-Maur des Fossés","94","Education/culture/sport"
"2014","Loi 1978","Jive Squad","Gentilly","94","Commerce"
"2014","Loi 1978","Conseil général de l'Hérault","Montpellier","34","Santé/ social"
"2014","Loi 1978","Maif","Niort","79","Assurance"
"2014","Loi 1978","Mgi-Twc Sas","Les Fins","25","Commerce"
"2014","Loi 1978","Commune d'Arles","Arles","13","Collectivités locales"
"2014","Loi 1978","Centre communal d'action sociale d'Arles","Arles","13","Collectivités locales"
"2014","Loi 1978","Commune de Boulogne-sur-Mer","Boulogne-sur-Mer","62","Collectivités locales"
"2014","Loi 1978","Centre communal d'action sociale de Boulogne-sur-Mer","Boulogne-sur-Mer","62","Collectivités locales"
"2014","Loi 1978","Hypercosmos","Saint-Médard-en-Jalles","33","Commerce"
"2014","Loi 1978","Supply Chain France","Paris (audition locaux Cnil)","75","Commerce"
"2014","Loi 1978","Pôle Emploi
","Villeneuve-d'Ascq","59","Santé/ social"
"2014","Loi 1978","Bip & Go","Issy-les-Moulineaux","92","Commerce"
"2014","Loi 1978","Ministère de la Justice
Telem Télésurveillance )","Vitrolles","13","Police/ justice/ sécurité"
"2014","Loi 1978","Ministère de la Justice
(Maison d'Arrêt d'AIX-LUYNES)","Aix-en-Provence","13","Police/ justice/ sécurité"
"2014","Loi 1978","Ministère de la Justice
(GEPSA )","Rueil-Malmaison","92","Police/ justice/ sécurité"
"2014","Loi 1978","Ministère de la Justice
(Maison d'arrêt de Valence)","Valence","26","Police/ justice/ sécurité"
"2014","Loi 1978","Ministère de la Justice
(Administration Pénitentiaire)","Paris","75","Police/ justice/ sécurité"
"2014","Loi 1978","Ministère de la Justice
(Administration Pénitentiaire) Centre de détention de Rennes","Rennes","35","Police/ justice/ sécurité"
"2014","Loi 1978","Ministère de la Justice
(Administration Pénitentiaire
Centre de détention de Melun","Melun","77","Police/ justice/ sécurité"
"2014","Loi 1978","Ministère de la Justice
(Administration Pénitentiaire)
Maison centrale de St Maur","Saint-Maur","36","Police/ justice/ sécurité"
"2014","Loi 1978","Ministère de la Justice
(Administration Pénitentiaire)
Direction intérregionale des services pénitentiaires de Toulouse"," Toulouse","31","Police/ justice/ sécurité"
"2014","Loi 1978","Ministère de la Justice
(Administration Pénitentiaire)
 Direction interrégionale des services pénitentiaires de Lille","Lille","59","Police/ justice/ sécurité"
"2014","Loi 1978","Ministère de la Justice
(Administration Pénitentiaire)
Prestataire Sodexo ","Guyancourt","78","Police/ justice/ sécurité"
"2014","Loi 1978","Ministère de la Justice
(Administration Pénitentiaire)
Maison centrale de St-Martin-de-Ré","Saint-Martin-de-Ré","17","Police/ justice/ sécurité"
"2014","Loi 1978","Ministère de la Justice
(DIT)","Grigny","91","Police/ justice/ sécurité"
"2014","Loi 1978","Ministère de la Justice
Maison centrale de Poissy","Poissy","78","Police/ justice/ sécurité"
"2014","Loi 1978","Ministère de la Justice
Direction  Interregionale des services pénitentiaires d'Ile-de-France
","Fresnes","94","Police/ justice/ sécurité"
"2014","Loi 1978","Ministère de la Justice
Prestataire Thalès
Elancourt","Elancourt","78","Police/ justice/ sécurité"
"2014","Loi 1978","Crédit Lyonnais 
(agence Daumesnil)","Paris","75","Banques-Finance"
"2014","Loi 1978","Wilo Salmson France","Laval","53","Commerce"
"2014","Loi 1978","Wilo Salmson France","Laval","53","Commerce"
"2014","Loi 1978","Fipac ","Paris (audition locaux CNIL)","75","Commerce"
"2014","Loi 1978","Autolib' ","Vaucresson","92","Transport"
"2014","Loi 1978","Autolib'","Vaucresson","92","Transport"
"2014","Loi 1978","Centre Hospitalier de Lunéville","Lunéville","54","Santé/ social"
"2014","Loi 1978","Vitalliance","Boulogne-Billancourt","92","Santé/ social"
"2014","Loi 1978","Mondial Assistance France  Sas-
Paris","Paris","75","Santé/ social"
"2014","Loi 1978","Mondial Assistance France  Sas-
Paris (75)","Paris","75","Santé/ social"
"2014","Loi 1978","Autoreflex.com","Montrouge","92","Commerce"
"2014","Loi 1978","Autoreflex.com","Montrouge","92","Commerce"
"2014","Loi 1978"," Morgane","Paris","75","Commerce"
"2014","Loi 1978","Ademe","Angers","49","Immobilier"
"2014","Loi 1978","A.C Conseils et Recrutement","Antony","92","Commerce"
"2014","Loi 1978","Bouygues Télécom/Préventel","Issy les Moulineaux","92","Commerce"
"2014","Loi 1978","Gie Preventel et Sopra group
Paris et La Défense","Paris et La Défense","75-92","Commerce"
"2014","Loi 1978","Conseil général de Seine Saint Denis","Bobigny","93","Collectivités locales"
"2014","Loi 1978","Conseil général de Seine Saint Denis","Bobigny","93","Collectivités locales"
"2014","Loi 1978","Sarl Emmanuel Here","Giraumont","54","Santé/ social"
"2014","Loi 1978","Centre Hospitalier Intercommunal Emile Durkheim"," Epinal","88","Santé/ social"
"2014","Loi 1978","Transat France"," Ivry sur Seine","94","Transport"
"2014","Loi 1978","La Poste","Champs-sur-Marne ","77-75","Santé/ social"
"2014","Loi 1978","Medica Control","Avrillé","49","Santé/ social"
"2014","Loi 1978","Gestion de Teleassistance et de services","Chatillon","92","Santé/ social"
"2014","Loi 1978","Assurland.com","Paris","75","Commerce"
"2014","Loi 1978","Caisse d'Epargne et de Prévoyance de Bourgogne Franche-Comté","Dijon","21","Banques-Finance"
"2014","Loi 1978","Carrefour Banque ","Courcouronnes","91","Banques-Finance"
"2014","Loi 1978","Carrefour Banque ","Courcouronnes","91","Banques-Finance"
"2014","Loi 1978","Schneider Electric","Rueil-Malmaison","92","Commerce"
"2014","Loi 1978","Service Bagages Aeroportuaire Orly Ouest","Orly Ouest","94","Transport"
"2014","Loi 1978","Service Bagages Aéroportuaire","Orly Sud","94","Transport"
"2014","Loi 1978","Carmignac Gestion","Paris","75","Commerce"
"2014","Loi 1978","Work 2000 Metallurgie","Claix","38","Santé/ social"
"2014","Loi 1978"," Banque Populaire Occitane","Balma","31","Banques-Finance"
"2014","Loi 1978"," Banque Populaire Occitane","Balma","31","Banques-Finance"
"2014","Loi 1978","Theseis","Balma","31","Commerce"
"2014","Loi 1978","Les Editions Neressis","Paris","75","Commerce"
"2014","Loi 1978","Conseil national de l'ordre des infirmiers","Paris","75","Santé/ social"
"2014","Loi 1978","Syndicat National des infirmieres et des infirmiers Libéraux","Paris","75","Santé/ social"
"2014","Loi 1978","Ministère de l'Intérieur (Service régional de police judiciaire)","Reims","51","Police/ justice/ sécurité"
"2014","Loi 1978","Ministère de l'Intérieur (Direction interregionale de police judiciaire)","Strasbourg","67","Police/ justice/ sécurité"
"2014","Loi 1978","Ministère de l'Intérieur","Paris","75","Police/ justice/ sécurité"
"2014","Loi 1978","Traitement de données aux sites DHL.fr et DHL-France.com","Roissy","95","Commerce"
"2014","Loi 1978","Effiliation","Paris","75","Commerce"
"2014","Loi 1978","Ogone","Paris","75","Commerce"
"2014","Loi 1978","Prisma Media","Gennevilliers","92","Commerce"
"2014","Loi 1978","Cybersource France Sas","Paris","75","Commerce"
"2014","Loi 1978","Unibail Marketing & Multimedia","Paris","75","Commerce"
"2014","Loi 1978","Service Medical Patronal ","Paris","75","Santé/ social"
"2014","Loi 1978","Europe Reseaux","Beaucouze","49","Commerce"
"2014","Loi 1978","Europe Reseaux -
Mobeefox
Audition","Paris","75","Commerce"
"2014","Loi 1978","Centre Hospitalier de Béthune","Béthune","62","Santé/ social"
"2014","Loi 1978","Centre Hospitalier Esquirol de Limoges","Limoges","87","Santé/ social"
"2014","Loi 1978","Selarl Pharmacie Valnesis","Roumazieres-Loubert","17","Santé/ social"
