Année,Type de contrôle,Organismes,Lieu de contrôle,Département,"Secteur d'activité 
de l'organisme"
2015,loi 78,BOURSE DE L'IMMOBILIER,Bordeaux,33,Immobilier
2015,loi 78,MGI-TWC SAS ,Les Fins,25,Commerce
2015,loi 78,SPORTSDIRECT.COM FRANCE ,Fresnes,94,Commerce
2015,loi 78,AUTOLIB' ,Vaucresson,92,Transport
2015,loi 78,ASSURLAND.COM ,Paris,75,Commerce
2015,loi 78,"CARREFOUR BANQUE 
         ",Courcouronnes,91,Banques
2015,loi 78,"EUROPE RESEAUX -
1789.FR ",Paris,75,Commerce
2015,loi 78,RENTABILIWEB MARKETING ,Levallois Perret,92,Commerce
2015,loi 78,RENTABILIWEB MARKETING ,Levallois Perret,92,Commerce
2015,loi 78,"MINISTÈRE DES FINANCES  ET DES COMPTES PUBLICS - 
SITE HÉBERGEMENT ",Bussy saint Georges,77,Banques
2015,loi 78,"MINISTÈRE DES FINANCES  ET DES COMPTES PUBLICS - 
DIRECTION GÉNÉRALE DES FINANCES PUBLIQUES ",Paris,75,Banques
2015,loi 78,"MINISTÈRE DES FINANCES  ET DES COMPTES PUBLICS - 
DIRECTION NATIONALE D'ENQUÊTES FISCALES ",Pantin,93,Banques
2015,loi 78,"MINISTÈRE DES FINANCES  ET DES COMPTES PUBLICS - 
ETABLISSEMENT DE SERVICES INFORMATIQUES DE LILLE MEUREIN ",Lille,59,Banques
2015,loi 78,"MINISTÈRE DES FINANCES  ET DES COMPTES PUBLICS - 
ETABLISSEMENT DE SERVICES INFORMATIQUES DE STRASBOURG GÉNÉRAL PICQUART ",Strasbourg,67,Banques
2015,loi 78,MINISTÈRE DES FINANCES  ET DES COMPTES PUBLICS ,Noisy le Grand,93,Banques
2015,loi 78,MINISTÈRE DES FINANCES  ET DES COMPTES PUBLICS,Charleville Mezières,8,Banques
2015,loi 78,MINISTÈRE DES FINANCES ET DES COMPTES PUBLICS  (BRIGADE DE CONTRÔLE ET DE RECHERCHES),Vanves,92,Banques
2015,loi 78,PRICEMINISTER ,Paris,75,Commerce
2015,loi 78,EFFICIENCY NETWORK,Paris,75,Commerce
2015,loi 78,REGIE COMMUNAUTAIRE D'EXPLOITATION DE PARCS DE STATIONNEMENT ,Bordeaux,33,Transport
2015,loi 78,SOCIÉTÉ COURTANET,Paris,75,Assurance
2015,loi 78,SECUVAD ,Nanterre,92,Banques
2015,loi 78,OPTICAL CENTER,Paris,75,Commerce
2015,loi 78,OPTICAL CENTER ,Paris,75,Commerce
2015,loi 78,R2J COMPANY ,Argenteuil,95,Commerce
2015,loi 78,"SANTÉ MUTUELLE SERVICES
",Rilleux la Rape,69,Santé/ social
2015,loi 78,BNP PARIBAS,Paris,75,Banques
2015,loi 78,BNP PARIBAS,Paris,75,Banques
2015,loi 78,CARREFOUR SYSTÈMES D'INFORMATION FRANCE (CSIF),Lyon,69,Commerce
2015,loi 78,CELSIUS ONLINE,Paris,75,Commerce
2015,loi 78,BANQUE DE FRANCE ,Poitiers,86,Banques
2015,loi 78,BANQUE DE FRANCE ,Poitiers,86,Banques
2015,loi 78,ASSOCIATION CONTRIBUABLES ASSOCIÉS ,Paris,75,Commerce
2015,loi 78,PHOENIX CORP ,Paris,75,Commerce
2015,loi 78,"MINISTÈRE DE LA JUSTICE 
- FIJAISV",Paris,75,Police/ justice/ sécurité
2015,loi 78,"MINISTÈRE DE LA JUSTICE 
- FIJAISV",Paris,75,Police/ justice/ sécurité
2015,loi 78,"MINISTÈRE DE LA JUSTICE 
- FIJAISV",Paris,75,Police/ justice/ sécurité
2015,loi 78,"MINISTÈRE DE LA JUSTICE 
- FIJAISV",Paris,75,Police/ justice/ sécurité
2015,loi 78,"MINISTÈRE DE LA JUSTICE
 - FIJAISV",Paris,75,Police/ justice/ sécurité
2015,loi 78,"MINISTÈRE DE LA JUSTICE
 - FIJAISV",Paris,75,Police/ justice/ sécurité
2015,loi 78,"MINISTÈRE DE LA JUSTICE 
- FIJAISV",Paris,75,Police/ justice/ sécurité
2015,loi 78,"MINISTÈRE DE LA JUSTICE 
- FIJAISV",Paris,75,Police/ justice/ sécurité
2015,loi 78,"MINISTÈRE DE LA JUSTICE
 - FIJAISV",Paris,75,Police/ justice/ sécurité
2015,loi 78,"MINISTÈRE DE LA JUSTICE
 - FIJAISV",Paris,75,Police/ justice/ sécurité
2015,loi 78,MINISTÈRE DE LA JUSTICE,Grenoble,38,Police/ justice/ sécurité
2015,loi 78,"MINISTÈRE DE LA JUSTICE -
PRÉFECTURE DE L'ISÈRE",Grenoble,38,Police/ justice/ sécurité
2015,loi 78,"MINISTÈRE DE LA JUSTICE -
CENTRE DE DÉTENTION DE TARASCON 
",Tarascon,13,Police/ justice/ sécurité
2015,loi 78,"MINISTÈRE DE LA JUSTICE -
COMMISSARIAT DE POLICE D'ARLES 
",Arles,13,Police/ justice/ sécurité
2015,loi 78,"MINISTÈRE DE LA JUSTICE -
PRÉFECTURE DES HAUTS DE SEINE
",Nanterre,92,Police/ justice/ sécurité
2015,loi 78,"MINISTÈRE DE LA JUSTICE -
GROUPEMENT DE GENDARMERIE DE LA DORDOGNE",Périgueux,24,Police/ justice/ sécurité
2015,loi 78,"MINISTÈRE DE LA JUSTICE -
PRÉFECTURE DE LA DORDOGNE",Périgueux,24,Police/ justice/ sécurité
2015,loi 78,"MINISTÈRE DE LA JUSTICE -
COUR D'APPEL DE PARIS ",Paris,75,Police/ justice/ sécurité
