"Catégorie
de contrôle","Modalité
de contrôle",Organismes,Dépt.,Ville,"Activité
de l'organisme"
RGPD,en ligne,CALL HYBRID,75,PARIS,Commerce
RGPD,sur audition,CALL HYBRID,75,PARIS,Commerce
RGPD,en ligne,BRICO PRIVE,31,L'UNION,Commerce
RGPD,en ligne,PEPPER DRINK ,35,VITRE,Commerce
RGPD,en ligne,PEPPER DRINK ,35,VITRE,Commerce
RGPD,sur audition,CONFEDERATION FRANÇAISE DEMOCRATIQUE DU TRAVAIL (CFDT),75,PARIS,Travail
RGPD,sur place,ACCOR,92,ISSY LES MOULINEAUX,Commerce
RGPD,en ligne,ACCOR,92,ISSY LES MOULINEAUX,Commerce
RGPD,en ligne,NESTOR,92,LEVALLOIS-PERRET,Commerce
RGPD,sur pièces,SFK GROUP,26,ROMANS SUR ISERE,Commerce
RGPD,sur place,CHU DE TOULOUSE,31,TOULOUSE,Santé 
RGPD,sur audition,OMNICOM PUBLIC RELATIONS GROUP,92,BOULOGNE-BILLANCOURT,Statistiques et enquêtes publiques 
RGPD,sur audition,CONFEDERATION FRANCAISE DES TRAVAILLEURS CHRETIENS,75,PARIS,Travail
RGPD,sur audition,CONFEDERATION GENERALE DU TRAVAIL FORCE OUVRIERE,75,PARIS,Travail
RGPD,sur place,CTS COMPUTERS AND TELECOMMUNICATION,93,MONTREUIL,Télécommunications
RGPD,en ligne,LES DERNIERS SERONT LES PREMIERS / VALORY INVESTISSEMENTS ,75,PARIS,Commerce
RGPD,sur place,CONSEIL SUPERIEUR DU NOTARIAT,75,PARIS,Régalien
RGPD,sur pièces,SEPHORA,92,NEUILLY SUR SEINE,Commerce
RGPD,sur place,STANLEY SECURITY FRANCE,13,VITROLLES,Régalien
RGPD,sur audition,WORKINGOO,75,PARIS,Travail
RGPD,sur place,FREE,75,PARIS,Télécommunications
RGPD,sur place,FREE,75,PARIS,Télécommunications
RGPD,sur audition,DIGITALEBOX,75,PARIS,Activités politiques
RGPD,sur place,SARL DILLARD,76,LE HAVRE,Commerce
RGPD,sur place, PHARMAGEST INTERACTIVE,54,VILLERS-LES-NANCY,Santé 
RGPD,en ligne,LES PREMIERS SERONT LES DERNIERS / VALORITY INVESTISSEMENT,75,PARIS,Commerce
