"Catégorie
de contrôle","Modalité
de contrôle",Organismes contrôlés,Dépt.,Ville,Pays,"Activité
de l'organisme"
RGPD,en ligne,BRICO PRIVE,31,L'UNION,FRANCE  ,Commerce
RGPD,sur pièces,CLUSTREE,75,PARIS,FRANCE  ,Travail
RGPD,sur audition,MEDIAN CONSEIL,64,PAU,FRANCE  ,Santé 
RGPD,sur place,MINISTÈRE DES ARMÉES,30,NIMES,FRANCE  ,Régalien
RGPD,en ligne,LE FIGARO,75,PARIS,FRANCE  ,Commerce
RGPD,en ligne,LE FIGARO,75,PARIS,FRANCE  ,Commerce
RGPD,en ligne,LES PUBLICATIONS CONDE NAST,75,PARIS,FRANCE  ,Commerce
RGPD,en ligne,LES PUBLICATIONS CONDE NAST,75,PARIS,FRANCE  ,Commerce
RGPD,en ligne,TIK TOK,,LONDRES,ROYAUME - UNI,Télécommunications
RGPD,sur place,SCRC Cabinet FER et C.A INVESTIGATION,63,CLERMONT FERRAND,FRANCE  ,Commerce
RGPD,sur audition,COSMO CONNECTED,75,PARIS,FRANCE  ,Transports
RGPD,sur place,"CEGEDIM LOGICIELS MEDICAUX FRANCE  
 
GROUPEMENT POUR L'ELABORATION ET LA REALISATION DE STATISTIQUES (G.E.R.S) 

ALLIANCE SOFTWARE 

SMART RX  

SANTESTAT ",79,CHAURAY,FRANCE  ,Santé 
RGPD,sur place,SANTESTAT  ,92,BOULOGNE-BILLANCOURT,FRANCE  ,Santé 
RGPD,sur place,CEGEDIM LOGICIELS MEDICAUX FRANCE  (CLM FRANCE),92,BOULOGNE-BILLANCOURT,FRANCE  ,Santé 
RGPD,sur place,"AGENCE RÉGIONALE DE SANTÉ
 NOUVELLE AQUITAINE",33,BORDEAUX,FRANCE  ,Santé 
RGPD,sur place,"AGENCE RÉGIONALE DE SANTÉ
 CENTRE-VAL-DE-LOIRE",45,ORLEANS,FRANCE  ,Santé 
RGPD,sur pièces,"AGENCE RÉGIONALE DE SANTÉ
 ILE-DE-FRANCE",75,PARIS,FRANCE  ,Santé 
RGPD,sur pièces,AGENCE RÉGIONALE DE SANTÉ ILE-DE-FRANCE ,75,PARIS,FRANCE  ,Santé 
RGPD,sur place,RECTORAT DE L'ACADÉMIE D'ORLÉANS - TOURS,45,ORLEANS,FRANCE  ,Santé 
RGPD,sur place,SELARL PHARMACIE BELLAICHE,75,PARIS,FRANCE  ,Santé 
RGPD,sur place,SOCIÉTE PHARMACIE ACTIPHARMA,75,PARIS,FRANCE  ,Santé 
RGPD,sur place,ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS,75,PARIS,FRANCE  ,Santé 
RGPD,sur place,ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS,75,PARIS,FRANCE  ,Santé 
RGPD,sur place,MINISTÈRE DE L'INTÉRIEUR,77,LOGNES,FRANCE  ,Régalien
RGPD,sur place,PRÉFECTURE DU NORD,59,LILLE,FRANCE  ,Régalien
RGPD,sur place,GMF ASSURANCES,92,LEVALLOIS-PERRET,FRANCE  ,Régalien
RGPD,sur place,PRÉFECTURE DE SEINE-MARITIME,76,ROUEN,FRANCE  ,Régalien
RGPD,sur place,HÔTEL DE POLICE DE CHARTRES,28,CHARTRES,FRANCE  ,Régalien
RGPD,sur audition,COMUTO,75,PARIS,FRANCE  ,Travail
RGPD,sur pièces,LIME,75,PARIS,FRANCE  ,Transports
RGPD,sur pièces,DOCTISSIMO,75,PARIS,FRANCE  ,Santé 
RGPD,sur place,"MINISTÈRE DE L'INTÉRIEUR
",69,ECULLY,FRANCE  ,Régalien
RGPD,sur place,MINISTÈRE DE L'INTÉRIEUR,95,PONTOISE,FRANCE  ,Régalien
RGPD,sur place,HOTEL DE POLICE DE LILLE,59,LILLE,FRANCE  ,Régalien
RGPD,sur place,MINISTÈRE DE L'INTÉRIEUR,95,ROISSY EN FRANCE,FRANCE  ,Régalien
RGPD,sur audition,M.F-TEL (TRANSCASH),13,ALLAUCH,FRANCE  ,Banque
RGPD,en ligne,VERIZON,,SUNNYVALE,ETATS-UNIS,Commerce
RGPD,sur audition,VERIZON,,SUNNYVALE,ETATS-UNIS,Commerce
RGPD,sur audition,MICROSOFT FRANCE ,75,PARIS,FRANCE  ,Commerce
RGPD,en ligne,MICROSOFT FRANCE ,75,PARIS,FRANCE  ,Commerce
RGPD,sur pièces,SQUARED,14,COLOMBELLES,FRANCE  ,Statistiques et enquêtes publiques 
RGPD,sur audition,QUATREM / MALAKOFF HUMANIS PREVOYANCE,75,PARIS,FRANCE  ,Santé 
RGPD,sur place,QUATREM / MALAKOFF HUMANIS PREVOYANCE,75,PARIS,FRANCE  ,Santé 
RGPD,sur pièces,CONSEIL NATIONAL DES ACTIVITÉS PRIVÉES DE SECURITÉ,75,PARIS,FRANCE  ,Régalien
RGPD,sur audition,MICROSOFT FRANCE ,75,PARIS,FRANCE  ,Commerce
RGPD,sur audition,LEOCARE,75,PARIS,FRANCE  ,Assurance
RGPD,sur audition,COVERD,75,PARIS,FRANCE  ,Assurance
RGPD,sur pièces,KG COM,69,VILLEURBANNE,FRANCE  ,Commerce
RGPD,en ligne,KG COM,69,VILLEURBANNE,FRANCE  ,Commerce
RGPD,sur place,KG COM,69,VILLEURBANNE,FRANCE  ,Commerce
RGPD,en ligne, MINISTÈRE DES SOLIDARITÉS ET DE LA SANTÉ ,75,PARIS,FRANCE  ,Santé 
RGPD,sur place, MINISTÈRE DES SOLIDARITÉS ET DE LA SANTÉ ,75,PARIS,FRANCE  ,Santé 
RGPD,sur place,MINISTÈRE DE L'INTÉRIEUR,92,ISSY LES MOULINEAUX,FRANCE  ,Régalien
RGPD,sur place,MINISTÈRE DE L'INTÉRIEUR,44,NANTES,FRANCE  ,Régalien
RGPD,sur pièces,MINISTÈRE DE L'INTÉRIEUR,75,PARIS,FRANCE  ,Régalien
RGPD,sur place,MINISTÈRE DE L'INTÉRIEUR,92,NANTERRE,FRANCE  ,Régalien
RGPD,sur place,MINISTÈRE DE L'EUROPE ET DES AFFAIRES ÉTRANGÈRES,44,NANTES,FRANCE  ,Régalien
RGPD,sur pièces,MINISTÈRE DE L'INTÉRIEUR,75,PARIS,FRANCE  ,Régalien
RGPD,sur audition,LA FINANCIÈRE DES PAIEMENTS ÉLECTRONIQUES,94,CHARENTON-LE-PONT,FRANCE  ,Banque
RGPD,en ligne,BIOTYFULL,92,SURESNES,FRANCE  ,Commerce
RGPD,sur audition,BIOTYFULL,75,PARIS,FRANCE  ,Commerce
RGPD,en ligne,LIBÉRATION,75,PARIS,FRANCE  ,Presse
RGPD,sur pièces,LIBÉRATION,75,PARIS,FRANCE  ,Presse
RGPD,en ligne,LIBÉRATION,75,PARIS,FRANCE  ,Presse
RGPD,sur pièces,LIBÉRATION,75,PARIS,FRANCE  ,Presse
RGPD,en ligne,CHAPITRE.COM,75,PARIS,FRANCE  ,Culture
RGPD,sur pièces,CHAPITRE.COM,75,PARIS,FRANCE  ,Culture
RGPD,en ligne,CHAPITRE.COM,75,PARIS,FRANCE  ,Culture
RGPD,en ligne,SALESFORCE.COM FRANCE,75,PARIS,FRANCE  ,Commerce
RGPD,sur audition,SALESFORCE.COM FRANCE,75,PARIS,FRANCE  ,Commerce
RGPD,sur audition,AUTOBIZ SAS,75,PARIS,FRANCE  ,Commerce
RGPD,sur audition,MARKETING IMMOBILIER,75,PARIS,FRANCE  ,Commerce
RGPD,sur pièces,SAUCEAMERICA.COM,,,,
RGPD,sur place,KAREN OPTIC,77,CHELLES,FRANCE  ,Commerce
RGPD,sur place,KAREN OPTIC,77,LAGNY-SUR-MARNE,FRANCE  ,Commerce
RGPD,en ligne,ENI GAS & POWER FRANCE,92,LEVALLOIS-PERRET,FRANCE  ,Energie
RGPD,sur pièces,ENI GAS & POWER FRANCE,92,LEVALLOIS-PERRET,FRANCE  ,Energie
RGPD,sur audition,MY TRAFFIC,75,PARIS,FRANCE  ,Commerce
RGPD,sur pièces,KORIAN,75,PARIS,FRANCE  ,Santé 
RGPD,sur pièces,LEDGER,75,PARIS,FRANCE  ,Commerce
RGPD,sur place,LEDGER,75,PARIS,FRANCE  ,Commerce
RGPD,sur pièces,ITM  ALIMENTAIRE INTERNATIONAL,75,PARIS,FRANCE  ,Commerce
RGPD,en ligne,WESIGNIT,75,PARIS,FRANCE  ,Associatif
RGPD,sur audition,WESIGNIT,75,PARIS,FRANCE  ,Associatif
RGPD,en ligne,GROUPE CANAL PLUS,92,ISSY LES MOULINEAUX,FRANCE  ,Commerce
RGPD,sur pièces,GROUPE CANAL PLUS,92,ISSY LES MOULINEAUX,FRANCE  ,Commerce
RGPD,sur pièces,"MINISTÈRE DE L'ÉDUCATION NATIONALE, DE LA JEUNESSE ET DES SPORTS",75,PARIS,FRANCE  ,Education
RGPD,sur pièces,CORNERSTONE ONDEMAND GLOBAL OPERATIONS INC.,75,PARIS,FRANCE  ,Travail
RGPD,sur pièces,CORNERSTONE ONDEMAND GLOBAL OPERATIONS INC.,75,PARIS,FRANCE  ,Travail
RGPD,en ligne,EDF,75,PARIS,FRANCE  ,Energie
RGPD,sur pièces,EDF,75,PARIS,FRANCE  ,Energie
RGPD,en ligne,SOCIÉTE GÉNERALE,75,PARIS,FRANCE  ,Banque
