"Type de contrôle","Modalité de contrôle","Organismes","Département","Lieu","Secteur d'activité"
"LOI 78","sur place","YATEDO","75","PARIS","Commerce"
"LOI 78","sur place","YATEDO","75","PARIS","Commerce"
"LOI 78","sur place","HOTEL SAINT LOUIS","13","MARSEILLE","Commerce"
"LOI 78","sur place","HOTEL SAINT LOUIS","13","MARSEILLE","Commerce"
"LOI 78","sur place","HOTEL LUTETIA","13","MARSEILLE","Commerce"
"LOI 78","sur place","INSTITUT DE RECHERCHES INTERNATIONALES SERVIER IRIS","92","SURESNES","Santé/social"
"LOI 78","sur audition","AGENCE DEM","75","PARIS","Commerce"
"LOI 78","sur place","DIRECTION DU RENSEIGNEMENT ET DE LA SECURITE DE LA DEFENSE (DRSD)","92","MALAKOFF","Police/justice/sécurité"
"LOI 78","sur place","DIRECTION GENERALE DES DOUANES ET DES DROITS INDIRECTS - UNITE INFORMATION PASSAGERS","95","ROISSY-EN-France","Police/justice/sécurité"
"LOI 78","sur place","TRAITEMENT SYSTEME API-PNR FRANCE
 (DIRECTION INTERREGIONALE DES DOUANES DE ROISSY) ","95","ROISSY CDG","Police/justice/sécurité"
"LOI 78","sur place","TRAITEMENT SYSTEME API-PNR FRANCE
 (DIRECTION DE LA POLICE AUX FRONTIERES-ORLY)","94","ORLY","Police/justice/sécurité"
"LOI 78","sur place","TRAITEMENT SYSTEME API-PNR FRANCE
 (DIRECTION GENERALE DES DOUANES ET DES DROITS INDIRECTS - UNITE INFORMATION PASSAGERS)","95","ROISSY-EN-France","Police/justice/sécurité"
"LOI 78","sur place","TRAITEMENT SYSTEME API-PNR FRANCE
 (DIRECTION GENERALE DES DOUANES ET DES DROITS INDIRECTS - UNITE INFORMATION PASSAGERS)","95","ROISSY-EN-France","Police/justice/sécurité"
"LOI 78","sur place","ITEMA","33","ANDERNOS-LES-BAINS","Commerce"
"LOI 78","sur place","ITEMA","33","ANDERNOS-LES-BAINS","Commerce"
"LOI 78","sur place","CAISSE PRIMAIRE D'ASSURANCE MALADIE DE LOIRE-ATLANTIQUE (CPAM) -SNIIRAM","44","NANTES","Santé/social"
"LOI 78","sur place","SOPRA STERIA  (SNIIRAM)","44","SAINT-HERBLAIN","Santé/social"
"LOI 78","sur place","AH PRODUCTION","92","BOULOGNE-BILLANCOURT","Commerce"
"LOI 78","sur place","MINISTERE DU LOGEMENT
 (PRESTATAIRE ACCES INFORMATIQUES)","77","AVON","Santé/social"
"LOI 78","sur place","DOCTOLIB","75","PARIS","Santé/social"
"LOI 78","sur place","EUROPE ECOLOGIE LES VERTS","93","MONTREUIL","Police/justice/sécurité"
"LOI 78","sur place","EUROPE ECOLOGIE LES VERTS","93","LA COURNEUVE","Police/justice/sécurité"
"LOI 78","sur place","G.L.C. FITNESS","69","LYON","Commerce"
"LOI 78","sur place","SAMSUNG ELECTRONICS FRANCE","93","SAINT-OUEN","Commerce"
"LOI 78","sur place","KYO-ASCENSEUR.FR","95","VILLIERS-LE-BEL","Commerce"
"LOI 78","sur place","CENTRE DES IMPOTS DE LYON","69","LYON","Economie"
"LOI 78","sur place","SECURITE GESTION CONSEIL","93","PANTIN","Commerce"
"LOI 78","sur place","ORANGE APPLICATIONS FOR BUSINESS","90","BELFORT","Commerce"
