"Catégorie
 de contrôle","Organismes contrôlés","Modalités de contrôle","Dépt.","Ville","Pays","Activité
 de l'organisme",""
"RGPD","UNIVERSITÉ DE LILLE","sur place","59","LILLE","FRANCE","Éducation",""
"RGPD","MINISTÈRE DE L'INTÉRIEUR ET DES OUTRE-MERS ","sur pièces","75","PARIS","FRANCE","Régalien",""
"RGPD","MINISTÈRE DE L'INTÉRIEUR ET DES OUTRE-MERS ","sur pièces","75","PARIS","FRANCE","Régalien",""
"RGPD","D-CODES ","sur place","92","NEUILLY-SUR-SEINE","FRANCE","Activités politiques",""
"RGPD","D-CODES ","sur pièces","92","NEUILLY-SUR-SEINE","FRANCE","Activités politiques",""
"RGPD","ON AIR","sur place","77","LIEUSAINT","FRANCE","Sport",""
"RGPD","FONDATION  POUR LA NATURE ET L'HOMME","sur place","92","BOULOGNE-BILLANCOURT","FRANCE","Associatif",""
"RGPD","SCION DATA AGENCY","sur audition","92","NEUILLY-SUR-SEINE","FRANCE","Commerce",""
"RGPD","SIGNATURE INT 
","sur place","75","PARIS","FRANCE","Commerce",""
"RGPD","SIGNATURE INT
","sur audition","75","PARIS","FRANCE","Commerce",""
"RGPD","IBOO","sur audition","44","NANTES","FRANCE","Commerce",""
"RGPD","GENIUSWARE","sur pièces","78","MONTESSON","FRANCE","Commerce",""
"RGPD","GENIUSWARE","sur audition","78","MONTESSON","FRANCE","Commerce",""
"RGPD","DISTRIX","en ligne","32","TOULOUSE","FRANCE","Commerce",""
"RGPD","DISTRIX","sur pièces","31","TOULOUSE","FRANCE","Commerce",""
"RGPD","FRANCE EDL","en ligne","69","LYON","FRANCE","Immobilier",""
"RGPD","FRANCE EDL","en ligne","69","LYON","FRANCE","Immobilier",""
"RGPD","BOUYGUES TELECOM","sur pièces","75","PARIS","FRANCE","Télécommunications",""
"RGPD","BOUYGUES TELECOM","en ligne","75","PARIS","FRANCE","Télécommunications",""
"RGPD","BOUYGUES TELECOM","sur audition","75","PARIS","FRANCE","Télécommunications",""
"RGPD","ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS","sur place","75","PARIS","FRANCE","Santé ",""
"RGPD","CAISSE NATIONALE D'ALLOCATIONS FAMILIALES","sur pièces","75","PARIS","FRANCE","Social",""
"RGPD","FONDATION DE COOPÉRATION SCIENTIFIQUE ","sur pièces","67","STRASBOURG","FRANCE","Santé ",""
"RGPD","FONDATION MÉDITERRANÉE INFECTION","sur pièces","13","MARSEILLE","FRANCE","Santé ",""
"RGPD","VENTE-UNIQUE.COM","en ligne","93","LE PRÉ SAINT-GERVAIS","FRANCE","Commerce",""
"RGPD","VENTE-UNIQUE.COM","sur audition","93","LE PRÉ SAINT-GERVAIS","FRANCE","Commerce",""
"RGPD","FNAC DIRECT
 FNAC DARTY PARTICIPATIONS ET SERVICES","en ligne","75","PARIS","FRANCE","Commerce",""
"RGPD","FNAC DIRECT
 FNAC DARTY PARTICIPATIONS ET SERVICES","sur place","94","IVRY-SUR-SEINE","FRANCE","Commerce",""
"RGPD","FNAC DIRECT
FNAC DARTY PARTICIPATIONS ET SERVICES","sur place","94","IVRY-SUR-SEINE","FRANCE","Commerce",""
"RGPD","DIGITLABS","sur audition","92","BOULOGNE-BILLANCOURT","FRANCE","Commerce",""
"RGPD","PROMOTION PICHET","sur place","75","PARIS","FRANCE","Immobilier",""
"RGPD","GOOGLE LLC ","en ligne","","MONTAIN VIEW","ÉTATS-UNIS","Commerce",""
"RGPD","GOOGLE LLC ","sur pièces","","MONTAIN VIEW","ÉTATS-UNIS","Commerce",""
"RGPD","ATLASFORMEN","en ligne","75","PARIS","FRANCE","Commerce",""
"RGPD","ATLASFORMEN","sur audition","75","PARIS","FRANCE","Commerce",""
"RGPD","PARTICULIER","en ligne","63","ÉGLISENEUVE-PRÈS-BILLOM","FRANCE","Particulier",""
"RGPD","ELYZE","en ligne","75","PARIS","FRANCE","Activités politiques",""
"RGPD","ELYZE","sur pièces","75","PARIS","FRANCE","Activités politiques",""
"RGPD","ONEPLUS","en ligne","","SHENZEN ","CHINE","Télécommunications",""
"RGPD","ONEPLUS TECHNOLOGY CO","sur pièces","","SHENZEN ","CHINE","Télécommunications",""
"RGPD","OPLUS MOBILETECH UK LIMITED","sur pièces","","LONDRES","ROYAUME-UNI","Commerce",""
"RGPD","COMMUNE DE VERNOUILLET","sur place","78","VERNOUILLET","FRANCE","Collectivités territoriales",""
"RGPD","COMMUNE DE VERNEUIL-SUR-SEINE","sur place","78","VERNEUIL-SUR-SEINE","FRANCE","Collectivités territoriales",""
"RGPD","RAKUTEN","en ligne","75","PARIS","FRANCE","Commerce",""
"RGPD","RAKUTEN","sur place","75","PARIS","FRANCE","Commerce",""
