"Type de
contrôle","Modalité de contrôle","Organismes","Dép.","Lieu","Secteur d'activité"
"LOI 78","sur place","ACTIVE ASSURANCES","75","PARIS","Assurances"
"LOI 78","sur place","ALFA","75","PARIS","Assurances"
"LOI 78","sur place","ALFA ","75","PARIS","Assurances"
"LOI 78","sur place","ALIENOR","64","PAU","Transports"
"LOI 78","sur place","ALLIANCE FRANCAISE PARIS ILE-DE-FRANCE","75","PARIS","Education"
"LOI 78","sur place","APRR","21","SAINT-APPOLINAIRE","Transports"
"LOI 78","sur place","ARCA PATRIMONE","92","BOULOGNE-BILLANCOURT","Banques"
"LOI 78","sur place","ASSISTANCE CENTRE D'APPEL","95","GOUSSAINVILLE","Commerce"
"LOI 78","sur place","ASSOCIATION AURORE","75","PARIS","Social"
"LOI 78","sur place","AUTOROUTES DU SUD DE LA FRANCE","92","RUEIL-MALMAISON","Transports"
"LOI 78","sur place","BIM","75","PARIS","Commerce"
"LOI 78","sur place","BOUYGUES TELECOM","92","MEUDON","Commerce"
"LOI 78","sur place","BRICO PRIVE","31","L'UNION","Commerce"
"LOI 78","sur place","BUSINESS SUPPORT SERVICES - B2S","92","GENNEVILLIERS","Commerce"
"LOI 78","sur place","CABINET FREDELION","75","PARIS","Immobilier"
"LOI 78","sur place","CAISSE REGIONALE DU CREDIT AGRICOLE MUTUEL CHARENTE-MARITIME DEUX SEVRES","17","LAGORD","Santé "
"LOI 78","sur place","CARPS INTERNATIONAL","75","PARIS","Assurances"
"LOI 78","sur place","CBIEN","75","PARIS","Commerce"
"LOI 78","sur place","CENTRE D'APPUI POUR LA PREVENTION DES INFECTIONS ASSOCIEES AUX SOINS D'ILE-DE-FRANCE","75","PARIS","Santé/social"
"LOI 78","sur place","CHAUFFEUR PRIVE (TRANSCOVO)","92","LEVALLOIS-PERRET","Transports"
"LOI 78","sur place","COACHCLUB","75","PARIS","Sport"
"LOI 78","sur place","COMMUNE DE MARSEILLE","13","MARSEILLE","Collectivités territoriales"
"LOI 78","sur place","CONSEIL REGIONAL ILE DE FRANCE","75","PARIS","Collectivités territoriales"
"LOI 78","sur place","CONTRAT FACILE","94","GENTILLY","Commerce"
"LOI 78","sur place","DEPARTEMENT DU VAL-DE-MARNE","94","VITRY-SUR-SEINE","Collectivités territoriales"
"LOI 78","sur place","DIRECT ENERGIE","75","PARIS","Energie"
"LOI 78","sur place","DIRECTION DEPARTEMENTALE DE LA SECURITE PUBLIQUE ","78","VIROFLAY","Régalien"
"LOI 78","sur place","DISTRICOM SALES AND MARKETING","92","ASNIERES-SUR-SEINE","Travail"
"LOI 78","sur place","DOCTIPHARMA","92","LEVALLOIS-PERRET","Santé "
"LOI 78","sur place","DOCTIPHARMA","92","LEVALLOIS-PERRET","Santé "
"LOI 78","sur place","ECOLE 42","75","PARIS","Education"
"LOI 78","sur place","ECOLE 42","75","PARIS","Education"
"LOI 78","sur place","ECOLE ELEMENTAIRE PUBLIQUE JEHAN DE BRIE","77","JOUARRE","Education"
"LOI 78","sur place","EQUANUM ","75","PARIS","Commerce"
"LOI 78","sur place","EQUANUM ","75","PARIS","Commerce"
"LOI 78","sur place","EVS AUTO-ECOLE","75","PARIS","Transports"
"LOI 78","sur place","FIDZUP","75","PARIS","Commerce"
"LOI 78","sur place","FIGARO CLASSIFIEDS","75","PARIS","Travail"
"LOI 78","sur place","FITIZZY","59","LILLE","Commerce"
"LOI 78","sur place","FLASH CONTRACT","75","PARIS","Commerce"
"LOI 78","sur place","FOODVISOR","75","PARIS","Commerce"
"LOI 78","sur place","FOODVISOR","75","PARIS","Commerce"
"LOI 78","sur place","FREMANTLEMEDIA FRANCE","75","PARIS","Commerce"
"LOI 78","sur place","FUTURA INTERNATIONAL","94","BONNEUIL-SUR-MARNE","Commerce"
"LOI 78","sur place","GROUPE B2V","92","COURBEVOIE","Santé/social"
"LOI 78","sur place","GROUPE B2V","92","COURBEVOIE","Santé/social"
"LOI 78","sur place","GROUPE MALAKOFF MEDERIC","75","PARIS","Assurances"
"LOI 78","sur place","GROUPE MEDICAL DES DENTELLIERES","59","VALENCIENNES","Santé "
"LOI 78","sur place","GROUPE PRO BTP","75","PARIS","Assurances"
"LOI 78","sur place","GROUPE SOLUTION ENERGIE","93","SAINT-OUEN","Commerce"
"LOI 78","sur place","GROUPE SOLUTION ENERGIE","93","SAINT-OUEN","Commerce"
"LOI 78","sur place","GUY HOQUET PARIS 18 OUEST","75","PARIS","Immobilier"
"LOI 78","sur place","HELLO ASSO","33","BORDEAUX","Commerce"
"LOI 78","sur place","HELLO ASSO","33","BORDEAUX","Commerce"
"LOI 78","sur place","HOTEL SQUARE LOUVOIS","75","PARIS","Commerce"
"LOI 78","sur place","HUMANIS ASSURANCES","75","PARIS","Assurances"
"LOI 78","sur place","IBIS BUDGET","91","COURCOURONNES","Commerce"
"LOI 78","sur place","IBIS BUDGET","93","VILLEMOMBLE","Tourisme"
"LOI 78","sur place","INFOMIL","31","TOULOUSE","Commerce"
"LOI 78","sur place","INSTITUT DES TECHNIQUES INFORMATIQUES ET COMMERCIALES","75","PARIS","Education"
"LOI 78","sur place","KISSKISSBANKBANK","75","PARIS","Commerce"
"LOI 78","sur place","LA GROSSE EQUIPE","92","BOULOGNE-BILLANCOURT","Commerce"
"LOI 78","sur place","LAMADELEINE.FR","59","LA MADELEINE","Collectivités territoriales"
